ID,Product,Volume,Caffeine,Per_Unit_Price,Quantity,Weight,Coupon_Code,Region,State,Country
1,Mystic Mist,379,129,870,7,419,C,South,Maryland,USA
2,Luminous Liquid,227,6,364,85,238,,Midwest,Michigan,USA
3,Secret Synergy,479,40,523,48,312,,Midwest,Missouri,USA
4,Eggs Benedict Expresso,204,204,834,93,288,,Midwest,Indiana,USA
5,Cosmic Coolant,329,47,421,6,353,,West,Washington,USA
6,Health Potion,382,99,554,98,287,,Northeast,New york,USA
7,Secret Synergy,479,40,523,11,312,,South,Arkansas,USA
8,Frosty Fizz,434,7,717,31,314,A,South,Maryland,USA
9,Cosmic Coolant,329,47,421,77,353,,Northeast,New Jersey,USA
10,Cosmic Coolant,329,47,421,1,353,,Midwest,Michigan,USA
11,Citrus Sizzle,267,39,457,62,368,,Midwest,Ohio,USA
12,Sparkle Splash,492,111,311,45,267,,Midwest,Ohio,USA
13,Health Potion,382,99,554,23,287,,West,Oregon,USA
14,Velvet Vortex,373,105,527,81,384,A,Midwest,Kansas,USA
15,Eggs Benedict Expresso,204,204,834,93,288,,West,Utah,USA
16,Pecan Pie Latte,358,155,496,107,354,,Northeast,Maine,USA
17,Velvet Vortex,373,105,527,44,384,,Northeast,Vermont,USA
18,Rainbow Rush,438,30,389,61,464,,South,North Carolina,USA
19,Pancake Flip Frappe,371,27,477,16,486,B,South,Louisiana,USA
20,Pecan Pie Latte,358,155,496,85,354,,Northeast,Rhode Island,USA
21,Frosted Flare,407,16,559,91,286,,Northeast,New Jersey,USA
22,Berry Blush,281,122,622,25,276,,South,North Carolina,USA
23,Rainbow Rush,438,30,389,3,464,,South,North Carolina,USA
24,Cosmic Coolant,329,47,421,33,353,,Midwest,Indiana,USA
25,Oceanic Oasis,484,113,319,23,301,,Northeast,Rhode Island,USA
26,Health Potion,382,99,554,94,287,,South,Louisiana,USA
27,Mystic Mist,379,129,870,31,419,,West,Idaho,USA
28,Blissful Bubbles,479,40,355,38,342,,South,North Carolina,USA
29,Mystic Mist,379,129,870,99,419,,Northeast,New Jersey,USA
30,Electric Elixir,374,120,367,4,406,,South,West Virginia,USA
31,Sparkle Splash,492,111,311,74,267,,Midwest,Ohio,USA
32,Frosted Flare,407,16,559,20,286,,Midwest,Minnesota,USA
33,Blissful Bubbles,479,40,355,44,342,,West,Idaho,USA
34,Velvet Vortex,373,105,527,24,384,A,Northeast,Connecticut,USA
35,Celestial Crush,487,67,618,89,216,,South,Florida,USA
36,Secret Synergy,479,40,523,92,312,C,Midwest,Kansas,USA
37,Health Potion,382,99,554,15,287,,Midwest,Iowa,USA
38,Sparkle Splash,492,111,311,50,267,B,West,Utah,USA
39,Pecan Pie Latte,358,155,496,46,354,,West,Oregon,USA
40,Velvet Vortex,373,105,527,95,384,,West,Wyoming,USA
41,Blissful Bubbles,479,40,355,71,342,,South,Maryland,USA
42,Citrus Sizzle,267,39,457,21,368,,South,Georgia,USA
43,Luminous Liquid,227,6,364,96,238,,Northeast,Vermont,USA
44,Twilight Tonic,356,111,824,22,493,,Midwest,Ohio,USA
45,Mystic Mist,379,129,870,47,419,,South,North Carolina,USA
46,Frosted Flare,407,16,559,1,286,,South,South Carolina,USA
47,Luminous Liquid,227,6,364,54,238,,Midwest,Kansas,USA
48,Sparkle Splash,492,111,311,71,267,B,West,Wyoming,USA
49,Cosmic Coolant,329,47,421,16,353,,Midwest,Ohio,USA
50,Enchanted Euphoria,284,83,364,77,303,,South,Louisiana,USA
51,Pecan Pie Latte,358,155,496,60,354,B,Midwest,Kansas,USA
52,Cosmic Coolant,329,47,421,12,353,,South,Arkansas,USA
53,Dreamy Droplets,356,106,347,35,330,C,South,Alabama,USA
54,Oceanic Oasis,484,113,319,91,301,,South,Florida,USA
55,Celestial Crush,487,67,618,80,216,,South,Oklahoma,USA
56,Twilight Tonic,356,111,824,97,493,B,South,West Virginia,USA
57,Cosmic Coolant,329,47,421,87,353,,Midwest,Wisconsin,USA
58,Celestial Crush,487,67,618,1,216,,Midwest,Iowa,USA
59,Mystic Mist,379,129,870,49,419,,Midwest,North Dakota,USA
60,Sparkle Splash,492,111,311,27,267,,West,Alaska,USA
61,Blissful Bubbles,479,40,355,70,342,,Northeast,Massachusetts,USA
62,Electric Elixir,374,120,367,9,406,B,South,North Carolina,USA
63,Sparkle Splash,492,111,311,83,267,,South,Mississippi,USA
64,Pancake Flip Frappe,371,27,477,8,486,,Midwest,Nebraska,USA
65,Citrus Sizzle,267,39,457,29,368,,Northeast,New york,USA
66,Citrus Sizzle,267,39,457,76,368,,Midwest,Wisconsin,USA
67,Pancake Flip Frappe,371,27,477,79,486,B,South,Arkansas,USA
68,Cosmic Coolant,329,47,421,14,353,,South,Mississippi,USA
69,Oceanic Oasis,484,113,319,26,301,,West,Alaska,USA
70,Velvet Vortex,373,105,527,90,384,,Midwest,Illinois,USA
71,Luminous Liquid,227,6,364,37,238,,Northeast,Maine,USA
72,Moonbeam Brew,361,124,655,14,394,,South,Louisiana,USA
73,Sparkle Splash,492,111,311,62,267,,Northeast,New Jersey,USA
74,Luminous Liquid,227,6,364,25,238,,West,Hawaii,USA
75,Berry Blush,281,122,622,3,276,,Midwest,North Dakota,USA
76,Sparkle Splash,492,111,311,66,267,,Northeast,Connecticut,USA
77,Oceanic Oasis,484,113,319,60,301,,South,Mississippi,USA
78,Rainbow Rush,438,30,389,36,464,,Midwest,Minnesota,USA
79,Enchanted Euphoria,284,83,364,60,303,,South,South Carolina,USA
80,Luminous Liquid,227,6,364,67,238,,Midwest,Iowa,USA
81,Blissful Bubbles,479,40,355,90,342,,Midwest,Kansas,USA
82,Velvet Vortex,373,105,527,89,384,,South,Louisiana,USA
83,Mystic Mist,379,129,870,51,419,,West,Montana,USA
84,Health Potion,382,99,554,98,287,B,South,Florida,USA
85,Blissful Bubbles,479,40,355,11,342,,Northeast,Maine,USA
86,Citrus Sizzle,267,39,457,12,368,,Northeast,New Hampshire,USA
87,Oceanic Oasis,484,113,319,31,301,,South,Delaware,USA
